title,company,skills,Type,Duration,experience_level,salary,date_posted,city,governorate,country
it infrastructure & application support supervisor – fayoum site,logistica,"it infrastructure & security management, enterprise applications & technical support",on-site,full time,experienced,,2 days ago,fayoum, fayoum, egypt
procurement supervisor,erada,"procurement, logistics, purchasing, supply chain, it, software, cloud infrastructure, mba",on-site,full time,experienced,,3 days ago,maadi, cairo, egypt
sales manager,deemax,"customer service, sales, sales target",on-site,full time,experienced,,3 days ago,abbassia, cairo, egypt
cost accountant manufacturing environment,deemax,"accounting, finance, financial analysis, manufacturing, cost accountant",on-site,full time,experienced,,3 days ago,abbassia, cairo, egypt
executive assistant / chairman's office manager,deemax,"administration, microsoft office, office management",on-site,full time,experienced,,3 days ago,abbassia, cairo, egypt
design engineer – commercial refrigeration & kitchen equipment,deemax,"design, autocad, mechanical engineering, solidworks, electrical engineering",on-site,full time,experienced,,3 days ago,abbassia, cairo, egypt
senior media buyer,kampaign agency,"digital marketing, media buying, google ads, meta ads, facebook ads, google analytics, e-commerce, commerce",hybrid,full time,experienced,,3 days ago,6th of october, giza, egypt
driver,el kheima beach resort,"driving, privet driver, customer service, information technology (it)",on-site,full time,experienced,,3 days ago,stanley, alexandria, egypt
facilities manager,blue ventures,"facility management, maintenance, administration, management, security, engineering, development, cctv system, fire extinguishers",on-site,full time,manager,,3 days ago,nasr city, cairo, egypt
workspace business development executive,blue ventures,"business development, sales target, sales, b2b, communication, development, marketing, negotiation",on-site,full time,experienced,,3 days ago,nasr city, cairo, egypt
business development executive,blue ventures,"business development, sales, sales target, outdoor sales, b2b sales, b2b, corporate sales, development",on-site,full time,entry level,,3 days ago,nasr city, cairo, egypt
light current engineer,beverlyhills,"light current systems, electrical engineering, system installation, maintenance & repair, troubleshooting, autocad, project management, safety regulations",on-site,full time,experienced,,3 days ago,shorouk city, cairo, egypt
technical office engineer (aluminum & glass sector),el alfy group,"autocad, glass, aluminum, technical office, microsoft office, engineering, facade",on-site,full time,experienced,,3 days ago,badr city, cairo, egypt
maintenance engineer,confidential,"engineering, maintenance, mechanical engineering, information technology (it)",on-site,full time,entry level,,3 days ago,10th of ramadan city, sharqia, egypt
commercial manager,blue ventures,"sales, marketing, management, f&b, food & beverage",on-site,full time,manager,,3 days ago,nasr city, cairo, egypt
group commercial department,blue ventures,"business development, sales, sales strategies, sales planning, accounting, administration, communication, marketing, crm",on-site,full time,senior management,,3 days ago,cairo,cairo, egypt
payroll & personnel specialist,euromed for medical industries,"payroll, personnel, human resources (hr), labor law, social insurance, attendance management, microsoft excel, pivot tables, xlookup / vlookup",on-site,full time,experienced,,3 days ago,nasr city, cairo, egypt
production manager (steel & metal products),confidential,"engineering, manufacturing, management, production, maintenance, mechanical engineering, planning",on-site,full time,manager,,3 days ago,qalubia,qalubia, egypt
business development consultant,gulf data international,"business development, development, sales target, sales",on-site,full time,manager,,3 days ago,heliopolis, cairo, egypt
customer support real estate specialist,gulf data international,"customer care, customer service, customer support, real estate, sales, communication, problem-solving, client relationship management",on-site,full time,entry level,,3 days ago,nasr city, cairo, egypt
social media specialist,raqmu for building and construction,"e-marketing, marketing, social media",on-site,full time,experienced,,3 days ago,new cairo, cairo, egypt
production engineering manager,grain,"production, engineering, manufacturing, process optimization, quality control, lean principles, project management, problem solving",on-site,full time,manager,,4 days ago,alsadat city, monufya, egypt
bank accountant,confidential,"accounting, accounting software, financial, accounts payable, communication skills, excel, finance, banking",remote,full time,experienced,,4 days ago,sheraton, cairo, egypt
architecture technical office engineer,meraki fine finishes,"autocad, technical office management, architectural design, sketchup, bim software, construction documentation, project coordination, material selection, site supervision",on-site,full time,experienced,,4 days ago,dokki, giza, egypt
construction project manager,meraki fine finishes,"construction, project management, engineering, site supervision, budget management, risk management, contract negotiation, autocad",on-site,full time,manager,,4 days ago,dokki, giza, egypt
senior network engineer,crown computers,"information technology (it), network administration, network engineering, network security, helpdesk, microsoft azure, kaseya, connectwise, acronis",remote,full time,experienced,,4 days ago,cairo,cairo, egypt
director of digital transformation & growth,mr. tailor,"marketing, online marketing, digital advertising, digital marketing, information technology (it), ai",on-site,full time,experienced,,4 days ago,maadi, cairo, egypt
hospitality floor supervisor,confidential,"customer service, hospitality, team leadership, problem solving, staff supervision, guest relations, conflict resolution, communication, operational management",on-site,part time,experienced,,5 days ago,north coast, alexandria, egypt
it manager,confidential,"information technology (it), project management",on-site,full time,manager,,5 days ago,alsadat city, monufya, egypt
dentist (italian speaker),3d diagnostix,"dental implants, dentist, dentistry, medical, healthcare, cosmetic dentistry, dental implant, dental care, pediatric dentistry",on-site,full time,entry level,,5 days ago,maadi, cairo, egypt
quantity surveyor,sherif el-gohary & co.,"architecture, civil engineering, construction, engineering",on-site,full time,experienced,,5 days ago,mohandessin, giza, egypt
mechanical production engineer,fth-industries,"sheet metal, mechanical design engineering, steel structure, solidworks, steel fabrication, workshop management, production engineering, production planning, cnc machines",on-site,full time,experienced,,5 days ago,6th of october, giza, egypt
