title,company,skills,Type,Duration,experience_level,salary,date_posted,city,governorate,country
recruitment specialist,giza spinning and weaving,"recruitment, talent acquisition, phone screening, human resources (hr), phone screening, human resources (hr), interviewing, candidate sourcing, applicant tracking systems (ats)",on-site,full time,experienced,,2 months ago,imbaba, giza, egypt
ar section head,ascom,"accounting, accounts receivable, management, finance, collection, microsoft office, erp, communication",on-site,full time,experienced,,2 months ago,maadi, cairo, egypt
administration manager,comex engineering company,"administration, office management, team leadership, communication, management, microsoft office",on-site,full time,manager,,2 months ago,6th of october, giza, egypt
ceo personal assistant,canadian physio center,"office management, personal assistant, executive support, communication, customer care, customer relations, client handling",on-site,full time,experienced,,2 months ago,new cairo, cairo, egypt
accountant,tma for industrial supplies,"accounting, finance, financial management, financial analysis",on-site,full time,experienced,,2 months ago,nasr city, cairo, egypt
roads and wet utilities / dry utilities civil 3d modeler,ka company,"civil 3d, navisworks, network infrastructure",remote,freelance / project,experienced,,2 months ago,cairo,cairo, egypt
electrical testing engineer,elsewedy electric,"electrical engineering, electrical testing, testing, commissioning, troubleshooting, quality control, communication",on-site,full time,entry level,,2 months ago,10th of ramadan city, cairo, egypt
maintenance manager,jaffangroup,"engineering, maintenance, management, mechanical engineering",on-site,full time,manager,,2 months ago,obour city, cairo, egypt
market launcher – food ordering platform,wuzzuf,"market expansion, market launcher, go-to-market strategy, market entry, business development manager, commercial manager, launch manager, b2b sales, food delivery",on-site,full time,senior management,,2 months ago,cairo,cairo, egypt
hr coordinator,tma for industrial supplies,"recruitment, administration, human resources (hr), hr",on-site,full time,experienced,,2 months ago,nasr city, cairo, egypt
technical designer (fashion indusrty),carina wear,"design, fashion, adobe illustrator, adobe photoshop",on-site,full time,experienced,,2 months ago,cairo,cairo, egypt
اخصائي تطوير إجراءات عمل business process specialist,confidential,"cbap, bpo, togaf, six sigma dmaic, lean",remote,full time,experienced,,2 months ago,new cairo, cairo, egypt
electrical site engineer,green river for urban development,"electrical engineering, engineering, construction site management, project coordination, quality control, troubleshooting, autocad",on-site,full time,experienced,,2 months ago,new capital, cairo, egypt
designer (construction & facade & aluminum window design),cscec international facade egypt co ltd,"autocad, 3d modeling, autodesk 3ds max, 3ds max, microsoft office, microsoft excel, microsoft word",on-site,full time,experienced,,2 months ago,ain sokhna, suez, egypt
administrative assistant ( madinaty branch),confidential,"administration, office management, microsoft office, customer service, organizational skills, communication skills, time management",on-site,full time,entry level,,2 months ago,madinaty, cairo, egypt
account manager,confidential,"key account management, customer success, project management, problem solving, critical thinking, sales, analysis",remote,full time,experienced,,2 months ago,cairo,cairo, egypt
sales engineer – dermatology medical devices,target for medical equipment,"sales target, sales, biomedical engineering, negotiation, target-oriented, medical devices, time management",on-site,full time,entry level,,2 months ago,cairo,cairo, egypt
site engineer,tma for industrial supplies,"construction, engineering, site installation",on-site,full time,experienced,,2 months ago,cairo,cairo, egypt
